ID,Fitness Centre Name,Address,Area / Locality,City,Rating,Number of Reviews,Category / Type,Phone Number,Email Address,Website / Social URL,Operating Hours,Price Range
1,Fitness Centre 51,"74, Main Road, Bengaluru",Indiranagar,Bengaluru,4.4,1256,Yoga Studio,+91 9876519721,fit51@example.com,https://fitness51.example.com,7 AM - 9 PM,Budget
2,Fitness Centre 52,"95, Main Road, Bengaluru",BTM Layout,Bengaluru,4.5,2054,Gym / Fitness Studio,+91 9876596424,fit52@example.com,https://fitness52.example.com,5 AM - 11 PM,Mid
3,Fitness Centre 53,"38, Main Road, Bengaluru",Koramangala,Bengaluru,4.6,1704,Dance / Zumba Studio,+91 9876575682,fit53@example.com,https://fitness53.example.com,7 AM - 9 PM,Mid
4,Fitness Centre 54,"12, Main Road, Bengaluru",Indiranagar,Bengaluru,4.2,2000,CrossFit Box,+91 9876526221,fit54@example.com,https://fitness54.example.com,6 AM - 10 PM,Premium
5,Fitness Centre 55,"24, Main Road, Bengaluru",Whitefield,Bengaluru,4.5,2286,Yoga Studio,+91 9876538233,fit55@example.com,https://fitness55.example.com,24 Hours,Budget
6,Fitness Centre 56,"18, Main Road, Bengaluru",Indiranagar,Bengaluru,4.5,1909,Gym / Fitness Studio,+91 9876557262,fit56@example.com,https://fitness56.example.com,6 AM - 10 PM,Mid
7,Fitness Centre 57,"5, Main Road, Bengaluru",HSR Layout,Bengaluru,4,777,Gym / Fitness Studio,+91 9876512021,fit57@example.com,https://fitness57.example.com,7 AM - 9 PM,Budget
8,Fitness Centre 58,"88, Main Road, Bengaluru",Whitefield,Bengaluru,4.1,1707,Yoga Studio,+91 9876591175,fit58@example.com,https://fitness58.example.com,7 AM - 9 PM,Budget
9,Fitness Centre 59,"39, Main Road, Bengaluru",Koramangala,Bengaluru,4.7,926,CrossFit Box,+91 9876524861,fit59@example.com,https://fitness59.example.com,6 AM - 10 PM,Mid
10,Fitness Centre 60,"10, Main Road, Bengaluru",Whitefield,Bengaluru,4.8,601,Dance / Zumba Studio,+91 9876588080,fit60@example.com,https://fitness60.example.com,24 Hours,Premium
11,Fitness Centre 61,"49, Main Road, Bengaluru",Whitefield,Bengaluru,4.5,2146,Gym / Fitness Studio,+91 9876558513,fit61@example.com,https://fitness61.example.com,6 AM - 10 PM,Premium
12,Fitness Centre 62,"8, Main Road, Bengaluru",HSR Layout,Bengaluru,4.7,1003,Dance / Zumba Studio,+91 9876590768,fit62@example.com,https://fitness62.example.com,5 AM - 11 PM,Mid
13,Fitness Centre 63,"73, Main Road, Bengaluru",HSR Layout,Bengaluru,4.6,1059,Yoga Studio,+91 9876517599,fit63@example.com,https://fitness63.example.com,6 AM - 10 PM,Mid
14,Fitness Centre 64,"81, Main Road, Bengaluru",Koramangala,Bengaluru,4.8,1220,CrossFit Box,+91 9876572148,fit64@example.com,https://fitness64.example.com,7 AM - 9 PM,Mid
15,Fitness Centre 65,"25, Main Road, Bengaluru",Indiranagar,Bengaluru,4.7,1785,CrossFit Box,+91 9876521670,fit65@example.com,https://fitness65.example.com,7 AM - 9 PM,Mid
16,Fitness Centre 66,"43, Main Road, Bengaluru",Jayanagar,Bengaluru,4.4,1469,CrossFit Box,+91 9876527016,fit66@example.com,https://fitness66.example.com,24 Hours,Mid
17,Fitness Centre 67,"59, Main Road, Bengaluru",Jayanagar,Bengaluru,4.1,1338,Dance / Zumba Studio,+91 9876582956,fit67@example.com,https://fitness67.example.com,6 AM - 10 PM,Premium
18,Fitness Centre 68,"49, Main Road, Bengaluru",Whitefield,Bengaluru,4.1,1135,Yoga Studio,+91 9876555994,fit68@example.com,https://fitness68.example.com,7 AM - 9 PM,Mid
19,Fitness Centre 69,"46, Main Road, Bengaluru",Jayanagar,Bengaluru,4,1160,Yoga Studio,+91 9876585446,fit69@example.com,https://fitness69.example.com,24 Hours,Premium
20,Fitness Centre 70,"29, Main Road, Bengaluru",Whitefield,Bengaluru,4.5,514,Gym / Fitness Studio,+91 9876589929,fit70@example.com,https://fitness70.example.com,7 AM - 9 PM,Premium
21,Fitness Centre 71,"1, Main Road, Bengaluru",Whitefield,Bengaluru,4,1350,Dance / Zumba Studio,+91 9876533786,fit71@example.com,https://fitness71.example.com,6 AM - 10 PM,Mid
22,Fitness Centre 72,"89, Main Road, Bengaluru",Whitefield,Bengaluru,4.1,2094,Gym / Fitness Studio,+91 9876525129,fit72@example.com,https://fitness72.example.com,24 Hours,Mid
23,Fitness Centre 73,"30, Main Road, Bengaluru",Jayanagar,Bengaluru,3.8,1524,Gym / Fitness Studio,+91 9876536972,fit73@example.com,https://fitness73.example.com,7 AM - 9 PM,Premium
24,Fitness Centre 74,"67, Main Road, Bengaluru",Whitefield,Bengaluru,4.1,1386,Yoga Studio,+91 9876561116,fit74@example.com,https://fitness74.example.com,7 AM - 9 PM,Mid
25,Fitness Centre 75,"82, Main Road, Bengaluru",Jayanagar,Bengaluru,4.5,1031,Yoga Studio,+91 9876572394,fit75@example.com,https://fitness75.example.com,5 AM - 11 PM,Budget
26,Fitness Centre 76,"96, Main Road, Bengaluru",HSR Layout,Bengaluru,4.6,2255,CrossFit Box,+91 9876572864,fit76@example.com,https://fitness76.example.com,24 Hours,Premium
27,Fitness Centre 77,"75, Main Road, Bengaluru",Whitefield,Bengaluru,4.3,1910,Gym / Fitness Studio,+91 9876535632,fit77@example.com,https://fitness77.example.com,5 AM - 11 PM,Mid
28,Fitness Centre 78,"75, Main Road, Bengaluru",BTM Layout,Bengaluru,4.4,540,CrossFit Box,+91 9876538675,fit78@example.com,https://fitness78.example.com,5 AM - 11 PM,Budget
29,Fitness Centre 79,"51, Main Road, Bengaluru",Jayanagar,Bengaluru,4.1,2019,Yoga Studio,+91 9876529811,fit79@example.com,https://fitness79.example.com,24 Hours,Mid
30,Fitness Centre 80,"97, Main Road, Bengaluru",BTM Layout,Bengaluru,4.2,837,CrossFit Box,+91 9876540876,fit80@example.com,https://fitness80.example.com,6 AM - 10 PM,Mid
31,Fitness Centre 81,"47, Main Road, Bengaluru",Jayanagar,Bengaluru,4.6,2111,Gym / Fitness Studio,+91 9876533845,fit81@example.com,https://fitness81.example.com,7 AM - 9 PM,Premium
32,Fitness Centre 82,"69, Main Road, Bengaluru",Jayanagar,Bengaluru,4,935,Yoga Studio,+91 9876553801,fit82@example.com,https://fitness82.example.com,5 AM - 11 PM,Premium
33,Fitness Centre 83,"42, Main Road, Bengaluru",Whitefield,Bengaluru,3.8,609,Gym / Fitness Studio,+91 9876537487,fit83@example.com,https://fitness83.example.com,6 AM - 10 PM,Budget
